#FamilyID	pvalue	Significant at 0.05
OG0001620	0.024	y
OG0001621	0.025	y
OG0001622	0	y
OG0001623	0.025	y
OG0001627	0.025	y
OG0001629	0.025	y
OG0001631	0.002	y
OG0001632	0.016	y
OG0001633	0.021	y
OG0001634	0.025	y
OG0001638	0	y
OG0001640	0	y
OG0001641	0.005	y
OG0001642	0.001	y
OG0001643	0	y
OG0001645	0.016	y
OG0001646	0.016	y
OG0001647	0.005	y
OG0001648	0.005	y
OG0001651	0	y
OG0001652	0.025	y
OG0001653	0.005	y
OG0001654	0.025	y
OG0001655	0.005	y
OG0001656	0	y
OG0001657	0	y
OG0001658	0.005	y
OG0001660	0.001	y
OG0001661	0.005	y
OG0001662	0.005	y
OG0001663	0.048	y
OG0001666	0.005	y
OG0001667	0	y
OG0001668	0.005	y
OG0001669	0.005	y
OG0001670	0.005	y
OG0001672	0	y
OG0001678	0.016	y
OG0001681	0.024	y
OG0001684	0.021	y
OG0001685	0.005	y
OG0001686	0.024	y
OG0001688	0.001	y
OG0001689	0	y
OG0001693	0.025	y
OG0001699	0.002	y
OG0001700	0	y
OG0001701	0	y
OG0001703	0.025	y
OG0001706	0.003	y
OG0001707	0	y
OG0001708	0	y
OG0001709	0.004	y
OG0001710	0	y
OG0001712	0	y
OG0001714	0	y
OG0001715	0	y
OG0001719	0	y
OG0001747	0.011	y
OG0001752	0	y
OG0001763	0.025	y
OG0001764	0.025	y
OG0001765	0.025	y
OG0001766	0.015	y
OG0001768	0.005	y
OG0001769	0	y
OG0001771	0.025	y
OG0001773	0.025	y
OG0001774	0.025	y
OG0001775	0.025	y
OG0001776	0.025	y
OG0001777	0.025	y
OG0001778	0.025	y
OG0001779	0.025	y
OG0001780	0.025	y
OG0001783	0.025	y
OG0001786	0	y
OG0001788	0.005	y
OG0001792	0.025	y
OG0001793	0.025	y
OG0001795	0.025	y
OG0001796	0.025	y
OG0001799	0.025	y
OG0001801	0	y
OG0001807	0.025	y
OG0001808	0.015	y
OG0001809	0.025	y
OG0001813	0	y
OG0001817	0.025	y
OG0001818	0.025	y
OG0001820	0.025	y
OG0001824	0.025	y
OG0001825	0.025	y
OG0001826	0.025	y
OG0001827	0.025	y
OG0001828	0.025	y
OG0001829	0.025	y
OG0001830	0.025	y
OG0001831	0.025	y
OG0001832	0.025	y
OG0001833	0.025	y
OG0001834	0.025	y
OG0001835	0.025	y
OG0001836	0.025	y
OG0001837	0.025	y
OG0001838	0.025	y
OG0001841	0	y
OG0001843	0.025	y
OG0001844	0.025	y
OG0001845	0.025	y
OG0001846	0.025	y
OG0001848	0.025	y
OG0001849	0.025	y
OG0001850	0.025	y
OG0001859	0	y
OG0001864	0.025	y
OG0001873	0.016	y
OG0001876	0.025	y
OG0001877	0.025	y
OG0001878	0	y
OG0001879	0.025	y
OG0001881	0.025	y
OG0001883	0.025	y
OG0001889	0.025	y
OG0001891	0.024	y
OG0001898	0.025	y
OG0001906	0.016	y
OG0001908	0.025	y
OG0001912	0.025	y
OG0001914	0.025	y
OG0001920	0.025	y
OG0001924	0.025	y
OG0001925	0.025	y
OG0001926	0.005	y
OG0001948	0.025	y
OG0001950	0	y
OG0001953	0	y
OG0001970	0.025	y
OG0001974	0.025	y
OG0001976	0.025	y
OG0001977	0.025	y
OG0001979	0.025	y
OG0001987	0.025	y
OG0001988	0.025	y
OG0001989	0.025	y
OG0001990	0.025	y
OG0001991	0	y
OG0001993	0.015	y
OG0001994	0.025	y
OG0001995	0.025	y
OG0001996	0.025	y
OG0001997	0.025	y
OG0001998	0.025	y
OG0002001	0.025	y
OG0002009	0.025	y
OG0002021	0.025	y
OG0002022	0	y
OG0002034	0.025	y
OG0002044	0.025	y
OG0002045	0.025	y
OG0002046	0.025	y
OG0002047	0	y
OG0002048	0.025	y
OG0002051	0	y
OG0002053	0.025	y
OG0002054	0.024	y
OG0002058	0.025	y
OG0002059	0.025	y
OG0002061	0.025	y
OG0002062	0.025	y
OG0002065	0	y
OG0002072	0.025	y
OG0002074	0.005	y
OG0002076	0.025	y
OG0002079	0.025	y
OG0002082	0.025	y
OG0002083	0.005	y
OG0002085	0.025	y
OG0002096	0.025	y
OG0002097	0.025	y
OG0002100	0	y
OG0002117	0	y
OG0002124	0.025	y
OG0002130	0.025	y
OG0002133	0.025	y
OG0002134	0.025	y
OG0002135	0.025	y
OG0002139	0.021	y
OG0002140	0.025	y
OG0002141	0.005	y
OG0002143	0.025	y
OG0002144	0.025	y
OG0002153	0	y
OG0002154	0.025	y
OG0002155	0.025	y
OG0002158	0.016	y
OG0002159	0.025	y
OG0002160	0.025	y
OG0002164	0.025	y
OG0002165	0.025	y
OG0002169	0.025	y
OG0002170	0.025	y
OG0002173	0	y
OG0002175	0.005	y
OG0002176	0.025	y
OG0002177	0.025	y
OG0002182	0	y
OG0002202	0.025	y
OG0002206	0	y
OG0002207	0.025	y
OG0002209	0.001	y
OG0002219	0.025	y
OG0002231	0.025	y
OG0002234	0.025	y
OG0002235	0.025	y
OG0002236	0.025	y
OG0002253	0.025	y
